Reservation ID,Customer Name,Room Type
1,John Smith,Single
2,Ethan Thomas,Double
3,Aiden Lewis,Suite
4,Alice Johnson,Single
5,Amelia Lee,Double
6,Scarlett Walker,Suite
7,Michael Williams,Single
8,Liam White,Double
9,Carter Hall,Suite
10,Emily Brown,Single
11,Mia Harris,Double
12,Avery Young,Suite
13,Christopher Jones,Single
14,Noah Martin,Double
15,Riley King,Suite
16,Emma Davis,Single
17,Charlotte Thompson,Double
18,Evelyn Allen,Deluxe
19,Matthew Wilson,Single
20,James Garcia,Double
21,Jack Wright,Deluxe
22,Sophia Taylor,Single
23,Harper Robinson,Double
24,Hannah Scott,Deluxe
25,Oliver Martinez,Single
26,Lucas Clark,Double
27,Logan Green,Deluxe
28,Isabella Anderson,Single
29,Ella Rodriguez,Double
30,Grace Baker,Double
31,Owen Carter,Suite
